,name,age,anual_salary,credit_card_number,credit_score,credit_limitation,transaction_status,partial_payment,credit_balance
7637,Alonso Aceves,54,1262200,6275710974259405,292,3114889,975870,0,975870
7638,Aceves,60,1323200,7861683650171105,299,3345955,2909048,29091,2879957
7639,Vlad Achim,35,434100,4537835391885909,89,765940,510262,0,510262
7640,Yaw Ackah,36,3170300,8099840789797656,358,5017827,3667088,366709,3300379
7641,Carlos Adorno,50,774100,3156535432499882,217,1963351,1730587,173059,1557528
7642,Danny Henriques,68,1460800,7546483651483243,386,3754367,970804,9709,961095
7643,Alban Ajdini,55,671400,9906644406762300,274,2409800,1156261,115627,1040634
7644,Arlind Ajeti,22,4064500,6531379500000134,351,5510471,419908,41991,377917
7645,Ufuk Akyol,61,4524700,5883836352145316,526,8077865,3978366,0,3978366
7646,Nawaf Al Aqidi,62,882800,8466471404718825,326,2861743,435928,436,435492
7647,Ali Al Hassan,23,1114300,3874401245452191,92,1366830,920494,92050,828444
7648,Fawaz Al Sagour,31,2494900,4119430860101680,265,3573924,534759,0,534759
7649,Hamdan Al Shamrani,55,382200,8984141431767002,220,1782966,484810,48481,436329
7650,Tomás Alarcón,23,4850400,5032329649399919,432,7775065,6615362,6615362,0
7651,Lucas Albertengo,59,1524700,5547512199158780,324,3262243,1557811,155782,1402029
7652,Norbert Alblas,52,4585900,6895131777367506,590,7581920,6616017,0,6616017
7653,Alexandru Albu,50,685000,8729329203346807,215,1854755,1027860,102786,925074
7654,Aldasoro,32,3209400,8645247685886774,292,4752622,1916064,191607,1724457
7655,Julián Alfaro,25,2989100,6328512484840371,261,4385292,2007727,20078,1987649
7656,Carmelo Algarañaz,28,2091500,8573271572275027,171,2713796,1551230,1552,1549678
7657,Mukhtar Ali,62,1640700,9836097366629801,363,3802134,2839735,0,2839735
7658,Jak Alnwick,53,2693000,9019781902182837,369,4784119,2188068,2188068,0
7659,Joseda Álvarez,57,4322900,9751344103593528,575,8315201,6198970,0,6198970
7660,Iker Álvarez,59,1295600,6018467684842612,333,3136448,271172,27118,244054
7661,Léo Chú,44,3325400,4960264765137513,340,4980669,3670714,0,3670714
7662,Lucas,70,1290200,6278834078327266,387,3974155,2227603,2227603,0
7663,Ukra,51,1015100,7105703902675818,278,2911523,88500,0,88500
7664,Iván Anderson,37,3600000,8087093928493255,348,5403600,3564168,35642,3528526
7665,Bruce Anderson,59,1193400,3618291152456003,337,3267511,2698724,270,2698454
7666,Fernando Andrade,62,2724100,4075325855665004,439,5832951,919813,9199,910614
7667,Aleksandar Andrejević,23,3135600,5969770918107879,235,3950907,1921590,0,1921590
7668,Tino Anjorin,47,4604500,6307967775877910,526,7962845,3742597,0,3742597
7669,Celton Biai,33,998500,7715350634769013,137,1595378,936577,0,936577
7670,Valentin Antov,54,1248400,9733013203986580,328,3105999,605337,606,604731
7671,Kévin Appin,35,2193200,6950255326367022,266,3318488,1906921,191,1906730
7672,Walter Araujo,56,2975500,3309033783349758,484,6026690,4673108,4673108,0
7673,Jordan Archer,70,4241700,4041224938881147,658,8308201,5802021,58021,5744000
7674,Adu Ares,56,2331200,9617500084764890,429,5168181,4502934,0,4502934
7675,Gustavo Arévalos,51,935800,5740963330028679,259,2570239,833171,833171,0
7676,Yair Arismendi,30,2140200,9833395141629864,215,3228907,1641462,0,1641462
7677,Kristian Arnstad,23,433700,7530051717410574,21,199507,154185,154185,0
7678,Jann-Fiete Arp,64,4101100,5876144367098389,617,8244341,4490432,450,4489982
7679,Bright Akwo Arrey-Mbi,60,2748700,8102954513730869,506,5635627,4231355,0,4231355
7680,Serkan Asan,34,898800,8979066051264376,166,1799489,1417570,1418,1416152
7681,Adrián Ascues,49,1675900,5867473028988724,303,3433753,398470,399,398071
7682,Kristoffer Askildsen,44,722300,4900817213669131,198,1826877,1190106,120,1189986
7683,Dairon Asprilla,22,4529000,3718647658676493,330,6051767,5693870,570,5693300
7684,Yáser Asprilla,51,521600,9573900260997443,240,1974497,1973656,19737,1953919
7685,Abdullah Ateef,37,3604700,3229307308781611,405,5881176,5449325,5449325,0
7686,Nathaniel Atkinson,36,2110900,7488947616264493,228,3279565,2542793,254280,2288513
7687,Jean-Kévin Augustin,65,565600,9066914321059691,299,2593567,1304082,130409,1173673
7688,Charlie Austin,50,4397600,8585274110293009,510,8010500,2220332,0,2220332
7689,Durel Avounou,40,1796400,4252654688693819,243,3195449,3043429,3044,3040385
7690,Nazinho,45,623500,3198169037171852,198,1763810,1151006,1152,1149854
7691,Pape Meissa Ba,45,4073800,9893375958941609,475,7150728,6298376,6298376,0
7692,Ba Dun,47,2069600,8082693672339552,297,3925645,3186192,31862,3154330
7693,Edgar Babayan,36,2905500,4825593499470267,321,4714560,4171756,4171756,0
7694,Felix Bacher,52,3789300,8966244003755620,452,6272631,2510333,252,2510081
7695,Dominique Badji,45,2572400,8305453025116786,308,4375461,1955427,195543,1759884
7696,Youssouph Badji,26,1289100,4463146609055397,130,1764274,343209,344,342865
7697,Gabriel Báez,24,4909200,9970087942529396,447,7117868,5315470,0,5315470
7698,Bentley Baxter Bahn,29,492600,7812500687890076,67,592753,200481,200481,0
7699,Mike-Steven Bähre,49,2708600,8966892233093053,388,5108949,374845,37485,337360
7700,Michael Baidoo,57,3782000,5193282634303429,536,7002970,1024699,0,1024699
7701,Scott Bain,25,619300,9114129250308229,51,586065,224133,225,223908
7702,Saïd Bakari,69,2633500,5100327158259039,431,5734412,704282,70429,633853
7703,Makana Baku,49,1480700,8384443588097058,264,2960571,2006535,2007,2004528
7704,Romário Baldé,69,791400,8835172178696306,370,3308457,1976353,198,1976155
7705,Yasser Baldé,30,2211000,8789693030501028,225,3522144,546609,5467,541142
7706,Dominic Ball,54,1861900,9241001273161306,364,4365354,463651,46366,417285
7707,Florian Ballas,66,4511900,6688147260226307,664,8473747,785571,785571,0
7708,Thierno Ballo,32,3701900,7289196296188558,341,5315090,1198696,119870,1078826
7709,Axel Bamba,38,3660000,6620134553282827,361,5832500,1525752,152576,1373176
7710,Funsho Bamgboye,48,1739300,4579947817635529,327,3538320,3435520,34356,3401164
7711,Marcel Bär,36,4249500,8156290538301823,470,6932899,795535,0,795535
7712,Leandro Barcia,31,2070600,8782576917268867,242,3250071,1667167,167,1667000
7713,Martín Barrios,27,4079900,8410393591058939,363,5662987,3745278,37453,3707825
7714,Thierno Barry,51,4267700,5837715381248956,488,6902406,1099437,109944,989493
7715,Maxime Barthelmé,62,386300,4259092515879352,234,1896769,1175433,117544,1057889
7716,Mons Bassouamina,60,1446600,6032382214641781,344,3487942,1988669,0,1988669
7717,Lewis Bate,22,2673000,8026002572169006,193,3621115,92486,9249,83237
7718,Dominic Baumann,47,694800,6452997797139752,185,1701251,501499,502,500997
7719,Furkan Bayır,25,4922700,3683285283686836,471,7602057,6442420,644242,5798178
7720,Tom Bayliss,69,818000,4001796995833265,380,3239397,1084620,0,1084620
7721,Raúl Becerra,48,939900,6953921152556137,231,2363805,858322,858322,0
7722,Tobias Bech,26,980800,8218042019013489,104,1422519,681383,0,681383
7723,Ismajl Beka,54,1133000,4140609978738088,313,3321682,2891141,0,2891141
7724,Joe Bell,54,911000,8902669015559292,288,2774416,756931,757,756174
7725,Mohammed Ali Bemammer,40,2486200,3919085278287388,286,3773212,208872,209,208663
7726,Rico Benatelli,70,4325300,5778653409671709,655,9060210,7379483,737949,6641534
7727,Guillermo Benítez,54,858300,4894869895986298,230,2130159,1298278,0,1298278
7728,Miguel Ángel Benítez,69,2865100,7206670157566022,500,6197309,5369810,53699,5316111
7729,Jewison Bennette,44,4421400,6924507827950947,466,7517509,1083143,109,1083034
7730,Leider Berdugo,44,3034600,3854290240747683,352,5232541,1365189,0,1365189
7731,Gustav Berggren,70,4823600,5917415231261677,645,9122406,1974238,19743,1954495
7732,Emiliano Bermúdez,33,3154000,3717001354116546,334,4960523,1587956,15880,1572076
7733,Alexander Bernhardsson,28,4847500,9097090206633537,399,6901681,5358174,5359,5352815
7734,Steeve Beusnard,26,1684200,8450730436573716,165,2425543,738048,7381,730667
7735,Merveille Biankadi,44,3504100,9175760137607001,407,5878623,1494190,149419,1344771
7736,Tom Bischof,64,1407200,7756234889661834,409,4123583,864050,864050,0
7737,José Bizama,26,4889500,5921740996047408,390,6567969,6104869,611,6104258
7738,John Björkengren,70,4369500,8550251941748488,615,7985084,4809622,0,4809622
7739,Sondre Flem Bjørshol,29,4427900,4039218848436504,428,7128051,4209596,420960,3788636
7740,Jamal Blackman,65,4660600,5378153580927257,683,9420387,3016319,302,3016017
7741,Emmanuel Boateng,35,840200,6348652835782647,163,1713371,1227533,1228,1226305
7742,Billy Bodin,69,4544200,4406254841762844,655,9424174,689923,689923,0
7743,Darijan Bojanić,23,1744900,3755741724385575,153,2561605,2293360,229336,2064024
7744,Kévin Boli,64,3033900,4776791069095598,443,6079234,4021256,4022,4017234
7745,Bendegúz Bolla,40,3409200,7341268550240372,394,5603598,1229632,1229632,0
7746,Alexandre Bonnet,53,2876200,5605000506394696,429,5597295,1743309,174331,1568978
7747,Christopher Bonsu Baah,45,2168600,3299785121802462,309,3861613,2416069,0,2416069
7748,Marco Borgnino,59,2279700,6250855886235142,386,4622985,3467326,346733,3120593
7749,Osvaldo Bosso,23,4022400,5259067397002931,339,5750702,189881,189881,0
7750,Kenji-Van Boto,54,3722800,9054479224373825,473,6916141,1542694,1543,1541151
7751,Carlo Boukhalfa,33,4827500,9753798905562906,441,7916504,3933484,3934,3929550
7752,Aymen Boutoutaou,28,4017100,7940075151830762,399,6161463,1971295,1972,1969323
7753,Ruben Bover,50,2216200,8318316457249659,303,4187720,233361,233361,0
7754,William Bøving,42,2199500,8994303828830369,313,4062864,1774026,0,1774026
7755,Chris Brady,33,3308100,5345804841492834,336,5090787,1536981,1537,1535444
7756,Christopher Braun,31,302300,8665529045337535,101,728942,443724,0,443724
7757,Juanma Bravo,25,2511700,7279135805249931,231,3703231,3459980,346,3459634
7758,Pascal Breier,41,2734200,6497677648878027,342,4471330,3925389,39254,3886135
7759,Marco Brescianini,50,2297100,6654857000588829,308,4066036,466840,4669,462171
7760,Joshua Brillante,30,4197800,5919767986956289,427,6207484,977433,0,977433
7761,Jérémie Broh,63,2464700,8040617590003210,453,5434974,3405121,340513,3064608
7762,Javain Brown,22,2868500,5096848622659422,242,3983293,3043689,3044,3040645
7763,Ciaron Brown,23,1682600,5734604522386092,128,2158996,397389,3974,393415
7764,Alexander Brunst,39,3489100,6974684133095254,363,5763128,5389978,0,5389978
7765,Charles-Andreas Brym,24,2541500,3283275717063461,223,3795291,1882472,1883,1880589
7766,Buatu,51,3765200,6349144074069939,513,7390497,732245,7323,724922
7767,Roman Buess,22,4516200,8945707067799689,328,6652951,3033540,0,3033540
7768,Thomas Buitink,25,3146500,8695923679080839,299,4898941,2490995,250,2490745
7769,Oliver Bundgaard,64,468300,6315254648892990,291,2288313,334061,33407,300654
7770,Max Burgess,53,3639000,8641209734843065,471,6098819,5462503,0,5462503
7771,Graham Burke,69,1849100,3500366367102768,412,4661662,4258663,4258663,0
7772,Rocky Bushiri,51,2577400,9983976698821333,374,4549485,676766,676766,0
7773,Jakob Busk,50,4817900,8054394540711683,534,7571043,2730097,274,2729823
7774,Ezequiel Busquets,50,3313400,8671978380138257,383,5800750,284098,2841,281257
7775,Álvaro Bustos,32,2748400,3591205941837553,271,4036750,246250,0,246250
7776,Mihai Butean,62,3579400,3632953261436722,490,6858808,428020,429,427591
7777,Juan David Cabal,64,2820200,5792031331462886,461,5495154,1595150,1595150,0
7778,Carlos Cabello,38,526400,3149490464624830,135,1217994,932247,0,932247
7779,Cătălin Căbuz,47,2166800,6863253109308953,340,3969293,252941,2530,250411
7780,Cai Huikang,59,339700,9068653336433594,299,2390355,1476768,148,1476620
7781,Luis Caicedo,31,1645500,4013823909173290,190,2718278,1486147,1487,1484660
7782,Abdulkerim Çakar,40,1348300,7853457442554178,231,2563444,13121,0,13121
7783,Pablo Camacho,59,815500,7709175464280937,242,2166057,210084,211,209873
7784,Lamine Camara,43,787700,6784270248103140,189,1956163,1309726,0,1309726
7785,Álvaro Campuzano,69,1173100,3709360917318398,321,3249956,2301895,230190,2071705
7786,Luis Cano,51,1917000,3286556034268789,369,4310314,711791,0,711791
7787,Mihai Căpățînă,66,936400,8771369999037722,321,3117345,2261909,0,2261909
7788,Édgar Carrión,32,4794700,8892426117925274,447,7782823,1070943,0,1070943
7789,Florian Carstens,31,1737900,9113054689103820,187,2759754,294151,294151,0
7790,Cesare Casadei,50,1866800,8869932036124598,317,3663262,445152,446,444706
7791,Marcin Cebula,35,4226600,8346609068443581,417,6811681,3156073,3157,3152916
7792,Junior Cedeño,26,2593600,5433268424263842,249,3730635,2857193,285720,2571473
7793,Joseph Ceesay,50,314100,6563112220647856,180,1342379,173345,17335,156010
7794,Maximiliano Centurión,52,2840700,5486989848998810,410,5425655,3165928,316593,2849335
7795,Giuliano Cerato,53,4807500,3233193877827952,548,7879744,28922,2893,26029
7796,Carlos Cermeño,46,3073100,6290000011279559,378,5283345,755583,756,754827
7797,Boris Cespedes,70,1787000,4699055910964870,441,4664964,4251495,0,4251495
7798,Sava-Arangel Čestić,48,1960700,4694871646719572,308,3786899,2593646,0,2593646
7799,Mike Cestor,29,3536200,3886418757100317,323,5057172,2764054,277,2763777
7800,Tarık Çetin,23,4993200,8706018974391532,435,7639764,5059837,5060,5054777
7801,Wálter Chalá,69,1210500,7241586274067435,383,3461915,2391035,23911,2367124
7802,Edinson Chávez,33,460100,4580868827922411,86,750878,48646,0,48646
7803,Sunil Chhetri,68,3127800,6225806184844083,544,6503052,4192310,4192310,0
7804,Alexandru Chipciu,47,1594700,6832232650010467,261,3058890,1401715,141,1401574
7805,Kacper Chodyna,59,3730800,9124204035386589,534,7125896,2484292,249,2484043
7806,Agustín Chopitea,44,2194800,9364168798546401,302,4084286,1459922,14600,1445322
7807,Joris Chougrani,54,963700,9473697208709531,305,2780021,1375692,137570,1238122
7808,Andreas Christodoulou,42,3045100,7166638371723473,389,5673797,3583967,359,3583608
7809,George Cîmpanu,40,4205400,6716497780656965,397,6627500,1759390,17594,1741796
7810,Till Cissokho,33,2042600,6572661321525639,262,3309280,1124932,0,1124932
7811,Pelle Clement,26,1425300,4833668322624812,144,2009725,1661230,166123,1495107
7812,Alexandre Coeff,30,1158800,5487063183608390,161,2043988,121602,1217,120385
7813,Devante Cole,63,4029200,6547339776419373,591,8043737,55580,0,55580
7814,James Collins,30,1367300,4305307087400643,169,2181290,1564571,156458,1408113
7815,Racine Coly,29,4500700,7145344844851422,433,6755471,5678344,56784,5621560
7816,Gabriel Compagnucci,70,1049200,4859878363288202,385,3430132,993520,0,993520
7817,Christian Conteh,65,2852000,5782081514455685,420,5653075,1468253,1468253,0
7818,Tommy Conway,25,4196600,5631593602152274,383,6513587,5490715,5491,5485224
7819,Andy Cook,40,977300,3541405454086098,179,1918551,1284117,1285,1282832
7820,Theo Corbeanu,50,3890400,7453960936528301,500,7221808,1214734,1214734,0
7821,Mael Corboz,46,1959000,8432787055732730,315,4058551,2669081,2670,2666411
7822,Sergio Córdova,64,1751600,8349762453365153,360,4059648,412279,0,412279
7823,Fernando Cornejo,39,3986400,5790617855291130,465,6732240,6450852,0,6450852
7824,Ramón Coronel,28,3090900,3788585510776696,242,4284778,968958,969,967989
7825,Tomás Silva,47,859600,4929411126308835,190,1848311,1025503,0,1025503
7826,Cristian Costin,69,2068400,8896812931649836,446,5005271,1692987,1693,1691294
7827,Jordan Cousins,49,1445600,7832367678286181,305,3260656,171147,1712,169435
7828,Néstor Cova,55,2098200,9171360518799530,357,4169415,2552045,256,2551789
7829,Nemanja Covic,59,4651600,9325044962414108,564,7891554,928883,929,927954
7830,Ljuban Crepulja,58,2791900,4335967816788400,454,5274244,3827330,382733,3444597
7831,Saúl Crespo,43,2496600,5575081491011285,306,4285861,4024079,403,4023676
7832,Alejo Cruz,55,3180900,4425692855215678,473,6398347,1600976,161,1600815
7833,Luke Cundle,49,1749900,6204102348838290,311,3600772,8601,0,8601
7834,Marvin Çuni,47,3781200,3383024858696790,452,6363715,737543,738,736805
7835,Lovro Cvek,41,2973100,3107851784443824,351,4847733,1530127,0,1530127
7836,Christopher Cvetko,47,874000,9966798511602302,204,2109048,97748,978,96770
7837,Luca D'Andrea,39,1270500,7131720242877461,201,2414133,647154,648,646506
7838,André Luís,40,3108100,9102383267996606,375,5377305,4355221,435523,3919698
7839,Josh Dacres-Cogley,56,4564300,4868963340541639,574,8093734,5132223,51323,5080900
7840,Renat Dadashov,28,4347000,7296415930673900,371,6235521,1503742,150375,1353367
7841,Dalmau,65,410600,9702075391416904,360,2873354,2814393,2814393,0
7842,Vitalie Damascan,57,3280100,7536948127673952,491,6287539,4145994,41460,4104534
7843,Misael Dávila,47,4770300,8284088104530778,552,7592163,4402428,4402428,0
7844,Maël de Gevigney,42,3867600,5156715296008656,397,5889810,2648315,2649,2645666
7845,Lautaro,61,1100900,7579309278354918,333,3282938,1487676,148768,1338908
7846,Juan Cruz De Los Santos,47,483900,5618448161413574,183,1613899,728738,728738,0
7847,Daniel De Silva,57,814500,3468099508744005,247,2381353,1766917,177,1766740
7848,Koni De Winter,64,4649700,3257704248212762,558,7592762,317448,3175,314273
7849,Yannick Deichmann,24,1796500,9697982879147131,123,2057527,1617220,161722,1455498
7850,Mats Deijl,26,947300,7755261054177753,100,1206109,167922,0,167922
7851,Maxim Dekker,62,764300,6869522300028112,316,2984295,609730,6098,603632
7852,Luis Del Pino Mago,47,1377700,6760404578334725,272,2944315,665998,0,665998
7853,Moi Delgado,49,2113400,4430982979369556,356,4352520,3437250,3437250,0
7854,Delmás,37,2273400,8449383417183240,274,3846929,876406,8765,867641
7855,Yohan Demoncy,44,4892600,4315018973643389,499,7677121,5983758,5984,5977774
7856,Kyle Dempsey,34,1535100,9645307177677056,201,2496262,1798346,180,1798166
7857,Valentín Depietri,65,2026400,7812274015104896,407,4873413,2648162,2649,2645513
7858,Pape Djibril Diaw,28,3528400,4467119009628831,332,5359999,292118,0,292118
7859,Diomar Díaz,55,1275500,8924189887583541,300,3087742,1275444,12755,1262689
7860,Victor Dican,28,3164200,9645135709812496,276,4662300,541670,541670,0
7861,Adrián Diéguez,51,945700,9152922105655795,239,2298313,135058,13506,121552
7862,Lars Dietz,36,2558100,3414664686031696,285,3739949,1189285,0,1189285
7863,Ismaël Diomandé,44,1088200,9461517593759390,202,2312777,392595,39260,353335
7864,Maximilian Dittgen,46,1294400,6921082590890660,233,2547714,1068456,107,1068349
7865,Mohamed Djetei,31,3358000,9348761507078092,348,5391687,2643897,0,2643897
7866,Toni Domgjoni,68,3936100,6125957092155418,635,8490241,2271557,0,2271557
7867,Jerónimo Domina,38,1104200,4511436038164243,168,1970804,1910860,1911,1908949
7868,John Donald,38,3804200,3590514400531571,439,6499907,6279204,62793,6216411
7869,Mehdi Dorval,57,340000,7875611479873226,242,1896950,314094,315,313779
7870,Anderson,40,2714000,8455739519696625,326,4809907,2136211,2136211,0
7871,Hassani Dotson,64,3844300,8512227468240627,600,7603575,2390738,2390738,0
7872,Barry Douglas,22,2307800,5241590603870364,196,3148981,954557,0,954557
7873,Couhaib Driouech,53,3189300,8112375555427244,432,5581893,634780,63478,571302
7874,Michael Duffy,50,1142700,3818158861071347,302,3150483,1979386,197939,1781447
7875,Bryce Duke,59,1547800,9187457583475834,326,3456726,828629,829,827800
7876,Andres Dumitrescu,61,2412000,6179402140985839,376,4615783,1561075,15611,1545464
7877,Julien Duranville,40,747400,6219443626394209,168,1564747,1520889,15209,1505680
7878,Chris Durkin,60,2686900,3805892681629290,425,5442834,23593,0,23593
7879,Tomás Durso,43,2529000,3098279579642016,332,4448492,1175270,1176,1174094
7880,César,40,3238800,5100842764262006,373,5270184,3000168,3001,2997167
7881,Sampson Dweh,58,2432900,4858227042789197,428,4681218,1846047,184605,1661442
7882,Malcolm Ebiowei,27,2250800,7447479825354004,210,3418512,1601854,0,1601854
7883,George Edmundson,27,3853500,5509377484926792,397,5991239,3848392,38484,3809908
7884,Tayo Edun,65,2973100,9199934768916548,519,6381190,2915397,29154,2886243
7885,Curtis Edwards,57,3635000,7883259969734442,465,6089079,4268755,4269,4264486
7886,Vitus Eicher,24,3001800,6284746661643671,234,3893398,1529157,0,1529157
7887,Jacques Ekomié,38,330500,4897358081905359,134,988713,744395,744395,0
7888,Neil El Aynaoui,54,4912000,6441015311827928,616,9356835,4728500,4729,4723771
7889,Omar El Hilali,32,4553400,4637553870167275,484,7298010,3012150,0,3012150
7890,Simon Elisor,36,4869300,9837733289584582,471,7817990,161360,161360,0
7891,Martin Ellingsen,64,2026900,8210670436303051,437,4803160,3922705,3923,3918782
7892,Bartuğ Elmaz,58,3472000,8076441802297821,413,5956875,5136157,5137,5131020
7893,Elliot Embleton,57,4107800,5683458420943525,536,6796028,5726826,573,5726253
7894,Erik Engelhardt,31,1855400,3991947874024461,205,2841745,1674970,1674970,0
7895,Okan Erdoğan,47,4084400,8820591063029804,453,6616504,5994152,600,5993552
7896,Ethan Erhahon,24,4867700,7163265732580638,386,7315037,95842,9585,86257
7897,Tomás Escalante,43,447500,6189936847590510,159,1369405,573931,573931,0
7898,Dani Escriche,65,3379800,4522995291333393,564,7130723,239705,240,239465
7899,Jhon Espinoza,59,2952300,8351400249377641,430,5820695,5434597,5434597,0
7900,Felipe Espinoza,50,3186400,9340370382210903,475,6466779,294624,0,294624
7901,Juan Espitia,41,3687500,5968059718872459,442,6382257,3711862,3711862,0
7902,Santiago Etchebarne,57,3742700,7020355725640850,543,7307528,6958164,0,6958164
7903,Kion Etete,60,3514200,6130968308688637,466,6322967,450467,451,450016
7904,Neil Etheridge,40,990900,8467287197481930,221,2336194,340984,341,340643
7905,Corry Evans,51,1252100,8356636092916735,288,2821825,1083945,109,1083836
7906,Erik Expósito,39,3314000,4889575338121675,391,5711585,2491691,0,2491691
7907,Brooklyn Ezeh,54,3533800,8471342466155183,482,6272729,2819392,0,2819392
7908,Nené,27,2522100,8514512685600349,219,3571742,2013085,20131,1992954
7909,Ivo Pinto,40,2033200,6495956988626435,309,3825927,2899566,289957,2609609
7910,Konrad Faber,35,1112100,9754836444948314,179,1942097,1859406,185941,1673465
7911,Andrej Fábry,50,3656400,5714250757512021,434,6816526,2607472,2608,2604864
7912,Caín Fara,59,3121500,3656983705358244,455,5885085,2141657,0,2141657
7913,Paolo Faragò,46,3224400,3644249380413086,395,5551546,1012668,1012668,0
7914,Luis Fariña,64,1552600,8669608591804074,378,3715591,2958706,296,2958410
7915,Jacopo Fazzini,57,1132200,4492427013728428,298,2833672,2259704,2259704,0
7916,Adrian Fein,55,1341700,7866495108647884,311,3386324,2907089,2907089,0
7917,Mads Fenger,42,3321700,7558053215657352,357,5472361,1418934,0,1418934
7918,Arianit Ferati,42,1321000,4598933899234133,213,2549815,1715785,1715785,0
7919,Nathan Ferguson,58,1052000,3348204039392092,281,3028241,1251198,1251198,0
7920,Damián Fernández,24,2851700,7558541642155495,229,3988069,2625437,263,2625174
7921,Dani Fernández,35,1152500,4758897320030224,183,2056961,1484427,148443,1335984
7922,Andrés Ferrari,53,923400,3411659710427131,212,2151136,650197,650197,0
7923,Gabriele Ferrarini,34,3313200,5948820386981469,291,4622672,3834361,3834361,0
7924,Ioannis Fetfatzidis,33,2464100,9044231613537430,245,3751559,3116023,0,3116023
7925,Riccardo Fiamozzi,24,364100,7815595465869367,54,388762,34102,34102,0
7926,Richard Figueroa,60,2623200,4495681809417135,443,5461195,1426158,0,1426158
7927,Ioan Filip,43,973000,9920308653559581,203,2126880,216177,217,215960
7928,Kian Fitz-Jim,66,393600,4439341266694422,279,2129870,1436281,1436281,0
7929,Florian Flecker,30,1873500,5398017061895380,197,2936912,597313,598,596715
7930,Felipe Flores,27,2627400,5611674289121439,240,3698831,3697035,36971,3660064
7931,Mamadou Fofana,58,3108100,4553622934174638,418,5545699,3390536,33906,3356630
7932,Boubacar Fofana,63,1338500,5947936169419298,333,3482330,339844,3399,336445
7933,Ben Folami,52,2151600,3381157183856988,348,4281033,4096137,409614,3686523
7934,Chris Forino,67,1745700,4068949522645712,355,3958143,382734,38274,344460
7935,Alan Forrest,57,886700,3655538828612937,288,2789706,341543,341543,0
7936,Craig Forsyth,22,2680200,3941868809957932,238,3650442,2944436,0,2944436
7937,Fortuño,35,2468600,4878900170540190,312,4113147,2148080,214808,1933272
7938,Daam Foulon,25,3515400,6622193926167977,299,5143261,2596679,0,2596679
7939,Abu Francis,32,315700,5880571336059596,68,483449,112667,1127,111540
7940,Juan José Franco,38,3570800,5955394118695675,395,5742219,3149900,314990,2834910
7941,Guillaume François,26,2878000,6032756317965244,245,3975535,2728655,2729,2725926
7942,Liam Fraser,36,3599500,6415277983283533,381,5557485,5224120,52242,5171878
7943,Hólmbert Aron Friðjónsson,38,944000,7228744902520961,157,1712647,41526,41526,0
7944,Dominik Frieser,55,1797300,4833937969200126,344,3893718,627458,0,627458
7945,Nils Fröling,44,4688400,9469459158346841,549,8656423,4962696,0,4962696
7946,Jeando Fuchs,24,4122600,5726985643874264,379,6376481,3753745,0,3753745
7947,Joel Chima Fujita,25,3362400,5738179620694584,303,4966370,326940,327,326613
7948,Andrea Fulignati,67,2246900,3187079242216663,451,5150326,1247209,124721,1122488
7949,Juriën Gaari,59,2179100,6396121572346444,392,4575285,1039701,103971,935730
7950,Adrián Gabbarini,25,2424900,8577323874307209,239,3651368,2113170,2114,2111056
7951,Raymon Gaddis,48,3014600,3729642212347209,433,5593309,4437574,0,4437574
7952,Tomás Galván,67,347700,8730855514418768,261,2136061,519404,519404,0
7953,Valerică Găman,68,4965200,6165234744938322,622,8437084,6796789,0,6796789
7954,Jens Martin Gammelby,27,623100,5822983973875031,69,688410,264100,2641,261459
7955,Silvère Ganvoula,43,3561900,6011045617602018,395,5720757,3636593,0,3636593
7956,Luke Garbutt,24,4685400,6181039409482633,397,6436507,442479,4425,438054
7957,Borja Garcés,51,4958900,3082085942009249,604,8938946,7962018,797,7961221
7958,Damián García,64,4176900,7723160814250741,602,8112901,4417647,4417647,0
7959,Pablo García,70,3615300,6420778175192993,568,6862017,2743430,0,2743430
7960,Joan García,48,3106400,6691731099060589,397,5262065,1308206,1308206,0
7961,Mario Gargiulo,30,1762900,3975436563046795,185,2658045,518387,5184,513203
7962,Paul Gartler,53,2659400,9340002438636147,404,5331803,3880857,0,3880857
7963,Lamine Gassama,36,4880200,6571939848617538,462,7641385,1780641,178065,1602576
7964,Marcel Gaus,60,3432400,5647931157849749,523,6321030,6271004,0,6271004
7965,Felix Gebhardt,27,390400,7948051575987108,66,529593,174369,0,174369
7966,Turgay Gemicibaşı,44,309200,8446678677744321,147,1115352,585742,58575,527167
7967,Fabio Gerli,59,1424900,4614046756749631,339,3626099,643610,6437,637173
7968,Lamine Ghezali,51,4934000,6861429844529742,593,9100575,7289574,7290,7282284
7969,Iván Gil,42,3728600,5756465347173869,419,6495852,1024020,1025,1022995
7970,Nick Gillekens,51,4779300,4940426787797278,523,8338562,7301746,730175,6571571
7971,Mark Gillespie,27,4345600,3327116483024179,370,6454934,3682697,3682697,0
7972,Dylan Gissi,66,4260600,8690062943395192,620,8674177,7565815,7566,7558249
7973,Eddy Gnahoré,60,4876900,8361785258390038,620,8105026,241643,242,241401
7974,Giorgi Gocholeishvili,34,974500,9219317842248530,158,1817928,994545,100,994445
7975,Diego Gómez,32,2554700,3143048479176110,261,3867652,886941,0,886941
7976,Iron Gomis,33,4060900,6411502393938611,394,6484239,1520276,1521,1518755
7977,Donatien Gomis,55,1116700,3203831975401150,283,2845000,10344,104,10240
7978,Marcelo González,61,2744500,8062678417077532,481,5685277,2828909,2829,2826080
